strategy,sizing,stop,entry,exit,total_pnl,mean_roi,median_roi,hit_rate,max_drawdown,num_trades,sharpe_ratio,profit_factor
S2_R1_E2_X2,S2,R1,E2,X2,-7.506451134209789,0.02647420171399799,0.038043893737779624,0.5277777777777778,16.783502536226266,36,0.4213045287420841,0.8018322356559319
S2_R1_E2_X3,S2,R1,E2,X3,-414.83323411197546,-0.7861216436557699,-1.0,0.027777777777777776,476.79798576138734,36,-4.240484440564364,0.17027641024774678
S2_R1_E3_X1,S2,R1,E3,X1,-202.59258915722745,-0.9638249576618863,-1.0,0.027777777777777776,210.56503547815768,36,-27.02130677281573,0.10280029380662288
S2_R1_E3_X2,S2,R1,E3,X2,3.505133528387873,0.039477575343518645,0.010168284714154163,0.5277777777777778,6.464007492477679,36,1.1156583597400556,1.324435153130636
S2_R1_E3_X3,S2,R1,E3,X3,-163.73151049034456,-0.9533218147152075,-1.0,0.027777777777777776,189.17011183085663,36,-20.71299000806426,0.19826855945368146
S2_R2_E1_X1,S2,R2,E1,X1,-350.30126393022454,0.8864641997616324,-1.0,0.027777777777777776,408.81673220568445,36,0.476573469152112,0.21952139608697827
S2_R2_E1_X2,S2,R2,E1,X2,11.188519413981435,0.23003095074126398,0.02599369419620616,0.5833333333333334,9.87520729192635,36,1.0410083037381228,1.4335281026805868
S2_R2_E1_X3,S2,R2,E1,X3,-357.9658008073333,-0.646613613707049,-1.0,0.027777777777777776,407.1444244819987,36,-1.8557191832631545,0.20470662230336745
S2_R2_E2_X1,S2,R2,E2,X1,-489.385598614196,-0.9143445902807229,-1.0,0.027777777777777776,481.9079356519418,36,-10.826107398886343,0.1213207637694966
S2_R2_E2_X2,S2,R2,E2,X2,-0.7543593595273226,0.10565456170051775,0.0021809054908074523,0.5,12.781841357694777,36,0.8132985804016313,0.9746102161360698
S2_R2_E2_X3,S2,R2,E2,X3,-417.2640693703544,-0.8926346903546604,-1.0,0.027777777777777776,457.9529416102792,36,-8.431930301847839,0.15085270352293867
S2_R2_E3_X1,S2,R2,E3,X1,-238.4895135862377,-0.9660972659679273,-1.0,0.027777777777777776,237.12875057991872,36,-28.900367057427992,0.07041845222443932
S2_R2_E3_X2,S2,R2,E3,X2,9.447268015125138,0.07721743556116528,-0.013079662719540357,0.4166666666666667,3.75257098834639,36,1.1292055914338888,1.6640802256613405
S2_R2_E3_X3,S2,R2,E3,X3,-136.9775556692681,-0.9530641007109746,-1.0,0.027777777777777776,170.53381544700432,36,-20.593691190228714,0.22957668691538358
S3_R1_E1_X1,S3,R1,E1,X1,-322.600290864415,-0.8249316956738667,-1.0,0.027777777777777776,386.4088539508442,36,-4.778897254824931,0.20685088328676787
S3_R1_E1_X2,S3,R1,E1,X2,-6.231880504500831,0.026779792430282723,-0.04231101399052082,0.3888888888888889,12.768885786809864,36,0.33779589862776876,0.8260044273309627
S3_R1_E1_X3,S3,R1,E1,X3,-301.6844245379127,-0.8685832137268522,-1.0,0.027777777777777776,332.17383658248264,36,-6.703132707639612,0.20723533318104773
S3_R1_E2_X1,S3,R1,E2,X1,-418.18394515737174,-0.849901913459641,-1.0,0.027777777777777776,473.08005086436816,36,-5.742630580990256,0.16309235141159859
S3_R1_E2_X2,S3,R1,E2,X2,-13.281429671716939,0.007186257166585953,-0.06318912335189532,0.3888888888888889,21.890633772706934,36,0.07357927705044923,0.6356365508207391
S3_R1_E2_X3,S3,R1,E2,X3,-419.9730397102843,-0.8647200557725842,-1.0,0.027777777777777776,454.03704312078366,36,-6.482751054864831,0.15911126353252086
S3_R1_E3_X1,S3,R1,E3,X1,-129.693426477291,-0.922484881144364,-1.0,0.027777777777777776,171.41667818434962,36,-12.06952192653759,0.3309879193758579
S3_R1_E3_X2,S3,R1,E3,X2,4.020639066223007,0.15509238467514155,0.002849721147015703,0.5,4.676599199128162,36,1.911140986880194,1.313310376689024
S3_R1_E3_X3,S3,R1,E3,X3,-114.2364055344742,-0.9469547899235953,-1.0,0.027777777777777776,149.01265189506876,36,-18.105073809756895,0.29427143342229556
S3_R2_E1_X1,S3,R2,E1,X1,-406.6687325152419,-0.7583760705032387,-1.0,0.027777777777777776,417.7959071833353,36,-3.183185195299278,0.17873311548606402
S3_R2_E1_X2,S3,R2,E1,X2,-13.422584900156417,0.006438944686530822,-0.029556653164040738,0.3888888888888889,18.611210172988013,36,0.09817368195837295,0.6932659564055907
S3_R2_E1_X3,S3,R2,E1,X3,-404.59794341864114,-0.832633658492067,-1.0,0.027777777777777776,426.94137587432226,36,-5.045486728797641,0.17090747061367878
S3_R2_E2_X1,S3,R2,E2,X1,-360.82916667118025,-0.888212026047937,-1.0,0.027777777777777776,387.3338629262048,36,-8.058213917400693,0.17237322620547882
S3_R2_E2_X2,S3,R2,E2,X2,4.522963710001346,0.0004490824819759859,0.02478473025923303,0.6111111111111112,20.304371182190984,36,0.008454112156406589,1.1517775964910304
S3_R2_E2_X3,S3,R2,E2,X3,-383.0344118508301,-0.9393266596006582,-1.0,0.027777777777777776,380.0467080402382,36,-15.701312986222835,0.12399600845009506
S3_R2_E3_X1,S3,R2,E3,X1,-194.10624454049625,-0.9593850126835751,-1.0,0.027777777777777776,211.51059874693635,36,-23.956525774348087,0.14003194468635957
S3_R2_E3_X2,S3,R2,E3,X2,-8.014311820570216,0.0076449981786116845,0.007782570226422163,0.5,9.848425461069834,36,0.15104266089849683,0.6122993901582294
S3_R2_E3_X3,S3,R2,E3,X3,-169.71863845284116,-0.9581520220873804,-1.0,0.027777777777777776,179.64503500759525,36,-23.22079962385989,0.16534887396465348
